Row,Name,Description,Activation,Prerequisite,Cost,Max,Duration,Drain,Source
1,"Adept Spell","This power allows an adept to disrupt the mana flows within a target they have touched. Activating this power is a Simple Action and can be activated any time within (Magic) minutes from the time the target is touched (meaning the adept must have succeeded in a touch attack. The adept rolls Magic + Willpower [Astral] vs. Reaction + Intuition [Physical]. If the adept wins, the target suffers a glitch or accident as determined by the gamemaster. If the adept scores 4 or more net hits, it is considered a critical glitch with potentially catastrophic results. The adept must resist Drain (Body + Willpower) equal to the number of hits (not net hits).","Simple Action",,1.00,1,Constant,0,SR5:HT
2,"Adept Accident","The adept has learned to cast a single spell like a mage. You learn one spell for free when acquiring this power. The maximum Force of the spell is your Magic Rating, and the Drain is always physical, resisted with Body + Willpower. This ability otherwise follows the standard rules for spellcasting. The adept can take ranks in the Spellcasting skill and is required to take at least one rank to use this power. This power can only be taken once.",Intrinsic,,0.50,1,Constant,0,SR5:HT
3,"Adrenaline Boost","This power lets you accomplish more in one Combat Turn. You get +2 to your Initiative Score for the current Combat Turn for every level of this power you have. At the beginning of the next turn after the Adrenaline Boost, you take Drain equal to the number of levels you have in this power.","Free Action",,0.25,99,"1 Combat Turn",1,Core
4,Analytics,"Adepts with this power can easily analyze, detect, recognize, and solve ciphers, patterns, or puzzles. This allows them to recognize clues or evidence during an investigation. For ever y level purchased, Analytics grants a +1 modifier to any test that involves pattern recognition, evidence analysis, obser vation, puzzle solving, or logic-based problems. It does not add dice to Technological Skill tests except for identification purposes. For example, Analytics doesn’t help with repairing a firearm, but it will help the adept recognize a knock-off.)  Analytics is not an immediate or instant solution to every problem. Rather, it’s meant to help the adept detect clues and glean information that could be overlooked (gamemaster’s discretion).",Intrinsic,,0.50,99,Constant,0,SR5:SG
5,"Animal Empathy","This power gives the adept a greater affinity for all non-sentient animals, both normal and paranormal. For every level purchased, the adept gains +1 die to all Animal Handling tests. This power can also be used to intimidate or frighten animals.",Intrinsic,,0.25,99,Constant,0,SR5:SG
6,"Astral Perception","This power allows you to bridge the gap between the physical and astral realms and see into the astral plane. Since you’re dual-natured while you’re using astral perception, you can attack astral forms when you use this power. Follow all the normal rules for astral perception (p. 312).","Simple Action",,1.00,1,Constant,0,Core
7,"Attribute Boost (Attribute)","You call upon inner strength to perform amazing physical feats beyond their normal abilities. Attribute Boost must be purchased for a specific Physical Attribute (Agility, Body, Reaction, or Strength); separate Attribute Boost powers may be bought for different attributes. This power cannot be purchased for a Mental or Special Attribute.  When you activate this power, make a Magic + Attribute Boost Rating Test. Each hit on this test boosts your attribute rating by 1, up to your augmented Attribute maximum. This only affects your dice pools; your Physical limit and Initiative ratings don’t change with Attribute Boost. The boost lasts for a number of Combat Turns equal to twice the number of hits you get. When the boost runs out, you take Drain equal to the level of this power.","Simple Action",,0.25,99,"2x Boost Hits",1,Core
8,"Authoritative Tone","Adepts with this power can speak in a way that immediately makes people want to believe them and follow their orders. For every level of this power, an adept gains +1 die to any Opposed Social Skill Test that they initiate (normal limits apply).",Intrinsic,,0.50,3,Constant,0,SR5:SG
9,Berserk,"The adept can voluntarily enter a frenzied mental state to increase his physical abilities. While in this state, the adept gains a +1 to all Physical attributes but suffers a temporary loss of –1 to all Mental attributes (minimum of 1; this power cannot be used by adepts with any Mental attributes starting at 1). Note: this also affects the adept’s Physical and Mental limits. Once activated, the adept remains in this state for (Magic x 2) Combat Turns or until any enemy targets are down. Adepts can attempt to leave this state early with a Willpower + Charisma (Magic x 0.5) Test. When the power wears off, adepts must resist Drain equal to (Magic x 0.5, rounded up).","Simple Action",,1.00,1,Constant,0,SR5:SG
10,"Berserker`s Rage","The adept passes melee berserking and delves deeper into a frenzied mental state. All bonuses and penalties from the Berserker power are increased to +2, and the duration is increased to (Magic x 4) minutes. To exit this state early requires a Willpower + Charisma Test. The threshold is 9 – the adept’s Magic Rating, with a minimum threshold of 3. If successful, the adept can use her full Mental attributes to resist Drain. Regardless of when she exits this state, the adept will have to resist a Drain Value of (Magic x 0.5). Any Wound Modifiers apply. A glitch on an exit attempt increases the duration to (Magic x 3) minutes.","Complex Action",Berserk,1.00,1,Constant,0,SR5:SG
