Row,Name,Environment,ArmorRating,Availability,Capacity,Cost,Description,Features,Source,SpecialRules,Wireless
219,Clothing,Universal,0,-,0,"20¥ -100,000¥","Clothing in 2075 comes with amazing features you’ll likely completely take for granted. Commlinks, music players, and other electronic devices can be woven right into the fabric, powered by interwoven batter ies or special energy-gather ing fabrics. On the other side of the economy, cheap soybased “flats” can be had for five nuyen per ar ticle of clothing from vending machines around the Sprawl. The more money you spend on your threads, the more impressive you look.",,Core,,
220,"Electrochromic Modification",Universal,-,2,-,+500¥,"Electrochromic threads can change color with voltage, letting you alter the color of your clothing or display text, images, or patterns. This is good for fashion, but great for vanishing into a crowd if you need a quick costume change. You can even get armored clothing in electrochromic styles. It takes a Simple Action to change the settings on your electrochromic clothes, but a couple of Combat Turns to complete the change.",,Core,,"Changing your clothes’ settings is a Free Action, and while it’s not good enough to be camouflage, it can display images, text files, or flat video from your commlink."
221,"Feedback Clothing",Universal,-,8,-,+500¥,"This haptic clothing allows for a tactile component to an augmented reality experience.",,Core,,
222,(Synth)Leather,Universal,4,-,4,+200¥,"Usually made of synthleather unless you’ve got mad nuyen, this type of jacket (waist-length to duster) never goes out of style and even offers a modicum of protection. Just don’t expect it to stop bullets.",,Core,,
223,"Armante Suit",Universal,8,10,4,"2,500¥","This year’s line is heavily influenced by the worldwide outcry of support for Aztlan against the eco-terrorist forces of Amazonia. Neo-Aztec influences define the styles of Armanté this season. This isn’t surprising to those of us who keep our ears open to the shadows, as Aztechnology was a major supporter for Vitorrio Armanté’s shadow war with Zoé to recover the rights to the line name back in ’73.","Increase Social Limit by 2",SR5:R&G,,"+1 dice pool bonus to Social Tests"
224,"Armante Dress",Universal,8,10,4,"2,500¥","This year’s line is heavily influenced by the worldwide outcry of support for Aztlan against the eco-terrorist forces of Amazonia. Neo-Aztec influences define the styles of Armanté this season. This isn’t surprising to those of us who keep our ears open to the shadows, as Aztechnology was a major supporter for Vitorrio Armanté’s shadow war with Zoé to recover the rights to the line name back in ’73.","Increase Social Limit by 2",SR5:R&G,,"+1 dice pool bonus to Social Tests"
225,"Mortimer of London, Berwick Suit",Universal,9,9,5,"2,600¥","Not exactly fashion-forward, but classic enough to always stay near the height of fashion. Mortimer has stuck with the classics, anchored around the venerable Berwick line. All pieces are custom tailored and fit, and I especially love that they include custom tailoring to fit “exceptional physical aspects” of their individual customers. Original pieces have to be sat for with a Mortimer certified tailor. I have a pretty solid stock of “lightly worn” Mortimer from some of his past lines. They lack the custom-cut features, but they can still have the important effect of making you look classier than you really are. The Crimson Sky and Summit lines from back in the early ’60s have aged quite well. And though they lack some of the wireless perks of many modern armors, they still stop bullets.","Custom Fit (Stack), increase Social Limit by 1, –3 modifier for Concealability",SR5:R&G,,"+1 dice pool bonus to Social Tests"
226,"Mortimer of London, Berwick Dress",Universal,8,8,4,"2,300¥","Not exactly fashion-forward, but classic enough to always stay near the height of fashion. Mortimer has stuck with the classics, anchored around the venerable Berwick line. All pieces are custom tailored and fit, and I especially love that they include custom tailoring to fit “exceptional physical aspects” of their individual customers. Original pieces have to be sat for with a Mortimer certified tailor. I have a pretty solid stock of “lightly worn” Mortimer from some of his past lines. They lack the custom-cut features, but they can still have the important effect of making you look classier than you really are. The Crimson Sky and Summit lines from back in the early ’60s have aged quite well. And though they lack some of the wireless perks of many modern armors, they still stop bullets.","Custom Fit (Stack), increase Social Limit by 1, –3 modifier for Concealability",SR5:R&G,,"+1 dice pool bonus to Social Tests"
227,"Mortimer of London, Crimson Sky Suit",Universal,8,6,5,"2,400¥","Not exactly fashion-forward, but classic enough to always stay near the height of fashion. Mortimer has stuck with the classics, anchored around the venerable Berwick line. All pieces are custom tailored and fit, and I especially love that they include custom tailoring to fit “exceptional physical aspects” of their individual customers. Original pieces have to be sat for with a Mortimer certified tailor. I have a pretty solid stock of “lightly worn” Mortimer from some of his past lines. They lack the custom-cut features, but they can still have the important effect of making you look classier than you really are. The Crimson Sky and Summit lines from back in the early ’60s have aged quite well. And though they lack some of the wireless perks of many modern armors, they still stop bullets.","Custom Fit (Stack), increase Social Limit by 1, –3 modifier for Concealability",SR5:R&G,,"+1 dice pool bonus to Social Tests"
228,"Mortimer of London, Summit Suit",Universal,8,7,6,"2,500¥","Not exactly fashion-forward, but classic enough to always stay near the height of fashion. Mortimer has stuck with the classics, anchored around the venerable Berwick line. All pieces are custom tailored and fit, and I especially love that they include custom tailoring to fit “exceptional physical aspects” of their individual customers. Original pieces have to be sat for with a Mortimer certified tailor. I have a pretty solid stock of “lightly worn” Mortimer from some of his past lines. They lack the custom-cut features, but they can still have the important effect of making you look classier than you really are. The Crimson Sky and Summit lines from back in the early ’60s have aged quite well. And though they lack some of the wireless perks of many modern armors, they still stop bullets.","Custom Fit (Stack), increase Social Limit by 1, –3 modifier for Concealability",SR5:R&G,,"+1 dice pool bonus to Social Tests"
