Row,Name,MaxRating,MinRating,Type,Part,Essence,Capacity,Availability,Cost,Description,Wireless,Source,Base,Container,Attachable,Bonus,Skill
1,"Adrenaline Pump",3,1,Bioware,Basic,"Rating x 0.75",-,"(Rating x 6)F","Rating x 55,000¥","This enhanced gland is implanted in the lower abdomen, connected to both supradrenal glands. When dormant, the pump is merely a reservoir for adrenaline. When activated, a small muscular sac contracts, sending a surge of concentrated adrenaline into the blood stream. Physical and emotional stress can force your pump to activate if you fail a Composure Test (p. 152); otherwise you can trigger it as a Free Action.While the pump is active, you ignore injury modifiers and donâ€™t fall unconscious, even if your Stun Condition Monitor is filled. You canâ€™t rest, but the adrenaline pumpâ€™s Rating is added to your Strength, Agility, Reaction, and Willpower attributes. The pump works for Rating x 1D6 Combat Turns (the pump canâ€™t be switched off early). When timeâ€™s up, you crash and take Stun damage equal to the number of Combat Turns the pump was active (use your natural Body + Willpower to resist the damage).After the effects end, your attribute values return to normal and you stop ignoring injury modifiers or unconsciousness from Stun damage. After use, the pump requires 1 hour to regenerate its supply. During that time, it cannot be activated.",NULL,Core,1,0,0,,
2,"Bone Density Augmentation",4,1,Bioware,Basic,"Rating x 0.3",-,"Rating x 4","Rating x 5,000¥","The molecular structure of your bones is altered to increase density and tensile strength. Ligaments are strengthened, and the increased bone density increases your weight a bit. Your Body attribute is increased by the bone density Rating for the purpose of damage resistance tests. You also deal Physical damage in unarmed combat, based on the Rating of the augmentation (see the Bone Density Augmentation table). Bone density augmentation is incompatible with other augmentations to the bones, including bone lacing cyberware.",NULL,Core,1,0,0,DamageResist:[Rating],
3,"Cat Eyes",1,1,Bioware,Basic,0.1,-,4,"4,000¥","These transgenic vat-grown implants are very literally catsâ€™ eyes with a modified DNA profile and occipital connecting structures. The structure of catâ€™s eyes amplifies light and enhances night vision, providing lowlight vision. Catâ€™s eyes are slit and reflective, just like, well, a catâ€™s. This bioware is obviously not compatible with cyberware eye enhancements or replacements.",NULL,Core,1,0,0,,
4,"Enhanced Articulation",1,1,Bioware,Basic,0.3,-,12,"24,000¥","A number of procedures like joint-surface coating, re-lubrication, and tendon and ligament augmentation lead to more fluid muscle and joint action. Enhanced articulation provides you with a +1 dice pool modifier to your Escape Artist skill and a +1 increase to your Physical limit (cumulative with other limit modifiers).",NULL,Core,1,0,0,PhysicalLimit:1,Escape_Artist:1
5,"Muscle Augmentation",4,1,Bioware,Basic,"Rating x 0.2",-,"(Rating x 5)R","Rating x 31,000¥","This biological weaving treatment enhances existing muscle tissue, rather than replacing it with vat-grown muscles. Specially grown muscle cables are woven into existing muscle fibers, enhancing muscle mass and brute strength while providing a bulkier look. Muscle augmentation adds its rating to your Strength. This bioware is incompatible with augmentations that increase Strength, including the muscle replacements cyberware.",NULL,Core,1,0,0,Strength:[Rating],
6,"Muscle Toner",4,1,Bioware,Basic,"Rating x 0.2",-,"(Rating x 5)R","Rating x 32,000¥","This treatment increases muscle fiber elasticity in existing muscle tension, resulting in increased muscle tension and flexibility while providing a smooth and ropy physique. Muscle toner adds its rating to your Agility. This bioware is incompatible with augmentations that increase Agility, including the muscle replacements cyberware.",NULL,Core,1,0,0,Agility:[Rating],
7,Orthoskin,4,1,Bioware,Basic,"Rating x 0.25",-,"(Rating x 4)R","Rating x 6,000¥","A web of biofibers in the skin provides the equivalent of personal armor while being virtually indistinguishable from natural skin. Orthoskin adds its Rating to your Armor Rating, and is cumulative with other Armor. Orthoskin cannot be combined with skin augmentations that give you Armor, including dermal plating.",NULL,Core,1,0,0,Armor:[Rating],
8,"Pathogenic Defense",6,1,Bioware,Basic,"Rating x 0.1",-,"Rating x 2","Rating x 4,500¥","This enhanced spleen can produce more effective and aggressive white blood cells for combating pathogens. Pathogenic defense adds its Rating to Disease Resistance Tests.",NULL,Core,1,0,0,,
9,"Platelet Factories",1,1,Bioware,Basic,0.2,-,12,"17,000¥","Platelet factories increase your bodyâ€™s ability to handle Physical damage by accelerating the production of platelets within bone marrow and their concentration in the blood, which helps stop bleeding faster. Any time you would take 2 or more boxes of damage to your Physical Condition Monitor, reduce the damage by one box.",NULL,Core,1,0,0,,
10,"Skin Pocket",1,1,Bioware,Basic,0.1,-,4,"12,000¥","This skin flap can be located anywhere on your body. A nerveless â€œsheathâ€� of flesh concealed by the flap is perfect for hiding a small objectâ€”itâ€™s the bioware version of aÂ smuggling compartment. The skin pocket has a Concealability of â€“10. It takes a Complex Action to add or remove an item from a skin pocket.",NULL,Core,1,0,0,,
11,"Suprathyroid Gland",1,1,Bioware,Basic,0.7,-,20R,"140,000¥","Placed on top of your existing thyroid gland, the suprathyroid gland supersedes the metabolic functions of your thyroid. The enhanced metabolism produces more energy, supercharging you. While youâ€™re supercharged, you might want to supersizeâ€”to fuel your optimized metabolism, youâ€™ll need to eat twice as much as normal. You get a +1 to your Agility, Body, Reaction, and Strength, along with a 25 percent boost in lifestyle costs. And you might get a bit hyperactive.",NULL,Core,1,0,0,"Body:1,Agility:1,Reaction:1,Strength:1",
