Row,Name,Type,SubType,MinRating,MaxRating,Capacity,Availability,Cost,Description,Source,Accuracy,DamageValue,DamageMod,Blast,ArmorPenetration,DataProcessing,Firewall,Vector,Speed,Penetration,Power,Effects,Max,Wireless
1,"Meta Link",Electronic,Commlink,1,1,,2,100¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
2,"Sony Emperor",Electronic,Commlink,2,2,,4,700¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
3,"Renraku Sensei",Electronic,Commlink,3,3,,6,"1,000¥",,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
4,"Erika Elite",Electronic,Commlink,4,4,,8,"2,500¥",,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
5,"Hermes Ikon",Electronic,Commlink,5,5,,10,"3,000¥",,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
6,"Transys Avalon",Electronic,Commlink,6,6,,12,"5,000¥",,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
7,"Fairlight Caliban",Electronic,Commlink,7,7,,14,"8,000¥",,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
8,"EvoTech Himitsu",Electronic,Commlink,2,2,,8R,"11,000¥",,SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
9,"MCT Blue Defender",Electronic,Commlink,3,3,,7,"2,000¥",,SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
10,"Nixdorf Sekretär",Electronic,Commlink,4,4,,5,"4,000¥",,SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
11,"Nixdorf Sekretär w/ Liebesekretär",Electronic,Commlink,4,4,,1,"2,000¥",,SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
12,"Sim Module",Electronic,"Commlink Mod",0,0,,,100¥,"This commlink upgrade gives you the simsense experience, translating computer data into neural signals that allow you to directly experience simsense programs and augmented reality. A sim module must be accessed via a direct neural interface (trodes, datajack, or implanted commlink). Sim modules are a must-have for virtual reality of sorts, including VR clubs, VR games, simsense, and darker virtual pleasures. Sim modules can be modified for hot-sim, which opens up the full (and dangerous) range of VR experiences.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
13,"Sim Module w/ Hot-Sim",Electronic,"Commlink Mod",0,0,,4F,250¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
