Row,Name,Source,Description,AdvantageAdept,AdvantageAll,AdvantageMagician,Disadvantage,SimilarArchetypes
1,Adversary,SR5:HT,"Wherever there is cosmological order, there is an entity that wishes to overthrow it. The Adversary is the original rebel against the powers that be. Followers of the Adversary have serious issues with authority and conformity. Followers range from those dedicated to helping the underprivileged and abused (by “the man”) to the one who indulges his love of anarchy for its own sake. Free will and cynicism are the Adversary follower’s tools and trade. ","One free level of Iron Will "," 	+2 to demolition skill tests","+2 dice to Counterspelling and Disenchanting Tests ","Because of their deep-seated hatred for authority, a teammate’s use of leadership skill is counterproductive to followers of Adversary, invoking either a negative dice penalty or loss of initiative. If the plan doesn’t go the way that the adversary follower wants it to go, it takes a Charisma + Willpower (3) Test for him to get him to cooperate.","Chaos, Anarchy"
2,Alligator,SR5:HS,"A follower of the Gator mentor spirit feels at home in cities as well as swamps and rivers. Gator shamans are ill-tempered and lazy, expecting a larger share for the work he does—assuming you can get him to agree to do it. He is also a miser when it comes to having to pay for anything including meals and he’s a real big eater. The virtuous aspects of the gator magician is that he’s a strong fighter and will finish what he agrees to do. They may seem to be motionless, but once roused to action they are ferocious and nearly unstoppable. ","Receives Inertia Strike power for free","+2 to Intimidation skill tests ","+2 to Conjuring skill tests for spirits of water or man (choose one) ","A follower of the alligator is stubborn in changing plan or action after he has committed to it. When the rest of the team goes to plan B, the magician must succeed in a Charisma + Willpower (3) Test to make the mental adjustment. Otherwise, they continue trying to execute plan A.","Crocodile, Sloth, Greed"
3,Bat,SR5:HT,"Bat is well-traveled, rarely staying in one place. As a seeker, she sets far-reaching goals and gets restless when not moving. She is adaptable and can make herself at home anywhere. Magicians following Bat keep things light and portable for traveling. ","Free Motion Sense (SR5:SG p. 172) ","+2 to Navigation Tests","+1 die to Conjuring Tests for any spirit ","A follower of Bat is easily distracted and becomes irritable during enforced inaction. She prefers spontaneity to routine. Every week that the magician stays in the same place, she takes a -1 penalty to all actions until she finds a new place to stay. Also, unless she succeeds in a Charisma + Willpower (3) Test, she cannot enter a hangout (bar, club, restaurant) more than once in a week without suffering a -1 to all Magic tests for the next twenty-four hours. ",Wanderer
4,Bear,Core,"This mentor symbolizes strength and protection. He is a healer and cannot turn down those in need without good reason, and he defends those under his care. Bear is more than a gentle healer; he is a ferocious protector, disregarding his own safety in combat if wounded or if someone he is protecting is injured.","1 free level of Rapid Healing"," 	+2 dice for tests to resist damage (not including Drain)","+2 dice for health spells, preparations, and health spell rituals ","You might go berserk when you take Physical damage in combat or if someone under your care is badly injured. Make a Simple Charisma + Willpower Test (wound modifiers apply). You go berserk for 3 turns minus 1 turn per hit, so 3 or more hits averts the berserk rage entirely. If you’re already going berserk, increase the duration. When you’re berserk, you go after your attacker(s) without regard for your own safety. If you incapacitate the target(s) before the time is up, the berserk fury dissipates. ","Strength, Protection"
5,Boar,SR5:HS,"Followers of the Boar are static in their ways. They keep to a daily routine and hold on to their stuff till it wears away. Some people would call them boring or unspontaneous, others would call them hoarders. Followers believe themselves to be loyal to the places that are part of their routine, and they are very protective of their territory. ","Gains Rooting (2) (SR5:SS p.24) power for free. ","Home Ground Quality is gained for free.","+1 to the number of services gained when successfully summoning a spirit","A follower of Boar does not like it if there are others intruding in his space or disrupting his routine. At best, the follower protects the bar and employees of the bar he always goes to. At worst, he will start a fight for a specific table or stool that he thinks is his. A warning is optional and usually proffered by the follower’s friends. It takes a Charisma + Willpower (3) Test for a follower of Boar to leave his home, safehouse, or routine permanently, otherwise he will keep coming back, even at the risk of his own safety. If the Boar does leave, he receives a –1 penalty to all active skill tests for three weeks until he finally settles into a new place and routine.",NULL
6,Berserker,SR5:SG,"Those who follow the path of Berserker love fighting just for the sake of fighting, be it with words, fists, or spells. He is the greatest of all warriors, capable of wading into battle without fear, and he will wage his war singlehandedly if necessary.","2 free levels of Mystic Armor or Pain Resistance, or 1 free level of each ","+2 dice pool modifier for Composure Tests","+2 dice for Physical-type Combat spells, preparations, and rituals","Berserker’s followers have very short fuses. Whenever someone strongly disagrees with you (gamemaster’s discretion), you must pass a Charisma + Willpower (3) Test to keep from striking out against the offender. If the test fails, the attack can be in any form you choose (fist, spell, etc.), but it must have the intent to cause damage.","Warrior, Warmonger"
7,Cat,Core,"Cat is honored in cultures around the world. Cat is often seen as the guardian of mystical secrets, including those involving the afterlife. She certainly knows many secrets but rarely decides to share them, and never with anyone who is not worthy. She is stealthy, sly, and arrogant. Cat toys with her prey—threatening, taunting, and confusing her targets—rather than going directly for the kill. ","2 free levels of Light Body","+2 dice to either Gymnastics or Infiltration Tests (choose one)","+2 dice for illusion spells, preparations, and illusion spell rituals","Cat magicians toy with their prey. Unless you succeed in a Charisma + Willpower (3) Test at the start of combat, you cannot make an attack that incapacitates your target. If you take any Physical damage, all this playing around stops.","Mystery, Stealth"
8,Chaos,SR5:SG,"Adherents of Chaos seemingly do things at random and love to start arguments or barroom brawls just for kicks, often through random trickery. While most people have a rather fixed sense of right and wrong, a Chaos follower’s moral compass points in a different direction from moment to moment. ","2 free levels of Improved Potential (can be 2 levels for the same limit, or 1 level apiece to affect 2 different limits) ","+2 dice pool modifier for Con Tests ","+2 dice to Illusion spells, preparations, and rituals","You are an inveterate gossip trying to stir up trouble, especially between friends, and thus cannot keep damaging secrets to yourself. Also, anytime you encounter a public situation deemed too quiet or stable (gamemaster’s discretion), make a Willpower + Intuition (3) Test. Failure means that you are compelled to stir the pot in any way you desire, be it attacking, telling lies, or throwing a drink on someone nearby. ","Trickster, Troublemaker"
9,Dog,Core,"Dog is a loyal friend. He fights ferociously to defend his home and those under his protection. Dog protects people from harmful magic and dangerous spirits. Dog is loyal, generous, and helpful to those who show him kindness. He is single-minded, often to the point of stubbornness. ","2 free Improved Sense powers.","+2 dice for Tracking tests","+2 dice for Detection spells, preparations, and rituals.","A Dog magician is stubbornly loyal. You can never leave someone behind, betray your comrades, or let another sacrifice themselves in your place without making a successful Charisma + Willpower (3) Test.","Friendship, Loyalty"
10,Dolphin,SR5:HS,"Followers of Dolphin are graceful, free-spirited characters who enjoy playful banter and have to move when music plays. They see things optimistically and believe there is good in the world despite current conditions of corporate politics and pollution. They are not naïve—at least, they don’t believe they are. They just have faith in humanity. Somehow. "," 	Gain Flexibility (2) power for free ","+2 dice on Artisan skill tests or Pilot (Watercraft) skill tests (choose one)","+2 for health spells, preparations, and spell rituals.","Followers are altruistic when it comes to helping people and cannot turn a blind eye to those who they believe deserve their help. It is difficult for them not to get involved when they see someone being bullied or obviously polluting the environment. If they see such a situation, it takes a Charisma + Willpower (3) Test for a follower of Dolphin not to intervene. If the job that the follower of Dolphin is on involves polluting the environment or becoming the bully/enforcer on those less deserving, then the follower loses 2 dice after each such deed until she atones. Atonement is up to the gamemaster but can involve time and money spent with charities. ",
11,Dragonslayer,Core,"This most heroic of mentor spirits is also the most fun loving. Though he fights to protect his own against all dangers, he loves a good party even more. He is a big brother who takes a friendly interest in everything his family does. Though sometimes naïve, he makes a staunch friend and a deadly enemy. The dragons he slays have changed with the times: current beasts include crime, pollution, corruption, and of course, actual dragons. Dragonslayer fights hard and plays hard. Once he has given his oath, he never breaks it. A Dragonslayer magician behaves with honor and respect, and demands the same from those around him.","1 free level of Enhanced Accuracy (skill) and 1 free level of Danger Sense","+2 dice pool modifier for one social skill of choice ","+2 dice for Combat spells, preparations, and rituals. ","If you break a promise, whether by choice or by accident, you take a –1 dice pool modifier to all actions until you make good on your promise.","Heroism, Adventure "
12,Eagle,Core,"Eagle is the highest-flying bird in the sky, considered the most noble by many cultures. He is proud and solitary, and sees everything happening in the world below. Eagles are noble defenders of the purity of nature. They are intolerant of those who do not share their views and have a strong distrust of technology and its tools. Those who damage nature are Eagle’s enemies, and Eagle will brave great danger to defeat polluters and other evildoers. ","1 free level of Combat Sense","+2 dice to Perception Tests","+2 dice for summoning spirits of air ","You get the Allergy (pollutants, mild) quality (p. 322; no bonus Karma for this negative quality).","Nature, Warding "
