Row,Name,Karma,Description,Type,Source,Prerequisites,MaxRating,Bonus,Skill,RequireText,Options
1,"Acrobatic Defender","4 KARMA","Duck, dive, twist, and twirl, just put on a good enough floor show to keep whatever is coming your way from landing on your face. This quality allows the character to use their Gymnastics skill in place of their Willpower while using Full Defense. Including this skill in the Defense Test means that their Physical Limit also applies.",Positive,SR5:R&G,,1,,,0,
2,"Adrenaline Surge","12 KARMA","Hit first, hit last, that’s your style. Adrenaline Surge allows a character to act first in the first Initiative Pass of a new combat even if they don’t have the highest Initiative Score. If other characters involved in the combat have the Adrenaline Surge quality or use their Edge to Seize the Initiative so that they may act first in the same Initiative Pass, characters act in order of their Initiative Scores. This quality does not allow a Surprised character to act first in an ambush, but it can allow a character who is not surprised to strike first.",Positive,SR5:RF,,1,,,0,
3,"Agile Defender","3 KARMA","Speed kills, but quickness and agility can be the key to avoiding a speedy death. This quality allows the character to use their Agility in place of their Willpower attribute while using Full Defense.",Positive,SR5:R&G,,1,,,0,
4,Ambidextrous,"4 KARMA","The Ambidextrous character can handle objects equally well with either hand. Without this quality, any action performed solely with the off–hand (i.e., firing a gun) suffers a –2 dice pool modifier (see Attacker Using Off-Hand Weapon, p. 178).",Positive,Core,,1,,,0,
5,"Analytical Mind","5 KARMA","Analytical Mind describes the uncanny ability to logically analyze information, deduce solutions to problems, or separate vital information from distractions and noise. It’s useful in cracking cyphers, solving puzzles, figuring out traps, and sifting through data. This quality gives the character a +2 dice pool modifier to any Logic Tests involving pattern recognition, evidence analysis, clue hunting, or solving puzzles. This quality also reduces the time it takes the character to solve a problem by half.",Positive,Core,,1,,,0,
6,"Animal Empathy","3 KARMA","Characters with this quality have a natural knack for working with animals. The character gets a +2 dice pool modifier for all tests involving the influence or control of an animal (including riding), including Awakened species.",Positive,SR5:RF,,1,,,0,
7,Aptitude,"14 KARMA","This quality is how you become even better than the best in the world. The standard limit for skills is 12. Every so often, there is a character who can exceed limitations and be truly exceptional in a particular skill. With this particular quality, the character can have one skill rated at 7 at character creation, and may eventually build that skill up to rating 13. Characters may only take the Aptitude quality once.",Positive,Core,,1,,,0,
8,"Astral Chameleon","10 KARMA","With the Astral Chameleon quality, the character’s astral signature blends into the background of astral space and is difficult to detect. All signatures left by the character last only half as long as other astral signatures. Any individuals assensing astral signatures left behind by a character with this quality receive a –2 dice pool modifier for the Assensing Test. Only characters with a Magic rating and capable of leaving astral signatures may have this quality.",Positive,Core,,1,,,0,
9,"Barrens Rat","5 KARMA","Growing up on the streets, you learned quickly that to keep what little you had, you better get good at concealing the things you are carrying and that one of those things better be a weapon. Any objects you attempt to hide on yourself receive –1 to their Concealability modifer. A number of items up to half your Agility (rounded up) can gain this bonus.",Positive,SR5:HT,,1,,,0,
10,"Better To Be Feared Than Loved","5 KARMA","You’re not running the shadows to make friends. It’s a dog-eat-dog world, and you intend to eat all the other dogs. Along the way, you’re going to meet people who have things you need, and you intend to take those things, because you can.    The character has such a fearsome reputation that all Contacts chosen as Blackmailed contacts (p. 178, Run Faster) are terrified of the character, having heard what he does to people who cause him displeasure. The character does not need anything additional to blackmail contacts—the sheer threat of the horrors he can inflict upon them is enough. Further, the character may add their Street Cred rating as a bonus to the Loyalty (Leverage) attribute of those contacts.    The downside, however, is that should a blackmailed contact gather enough nerve to turn on you, they aren’t going to do so lightly. Add the character’s Street Cred to the blackmailed Contact’s Connection Rating to determine the Professional Rating of the people who are going to come after the character.",Positive,SR5:CF,,1,,,0,
