Row,Name,Description,Category,Effects,Type,Range,Damage,Duration,Drain,Source,Grouping
1,"Acid Stream","These spells create a powerful corrosive that sprays the target, causing terrible burns and eating away organic and metallic material - treat it asÂ Acid Damage, with appropriate effects on the affected area and any objects therein. The acid quickly evaporates, but the damage it inflicts remains. Acid Stream is a single-target spell, Toxic Wave is an area spell.",Combat,"Indirect, Elemental",Physical,LOS,P,I,F-3,Core,NULL
2,"Toxic Wave","These spells create a powerful corrosive that sprays the target, causing terrible burns and eating away organic and metallic material - treat it asÂ Acid Damage, with appropriate effects on the affected area and any objects therein. The acid quickly evaporates, but the damage it inflicts remains. Acid Stream is a single-target spell, Toxic Wave is an area spell.",Combat,"Indirect, Elemental, Area",Physical,LOS(A),P,I,F-1,Core,NULL
3,Punch,"These spells smack the target(s) with invisible psychokinetic force, similar to a bruising punch, that inflicts Stun damage. Punch requires you to touch the target. Clout affects a single target, while Blast is an area spell.",Combat,Indirect,Physical,T,S,I,F-6,Core,NULL
4,Clout,"These spells smack the target(s) with invisible psychokinetic force, similar to a bruising punch, that inflicts Stun damage. Punch requires you to touch the target. Clout affects a single target, while Blast is an area spell.",Combat,Indirect,Physical,LOS,S,I,F-3,Core,NULL
5,Blast,"These spells smack the target(s) with invisible psychokinetic force, similar to a bruising punch, that inflicts Stun damage. Punch requires you to touch the target. Clout affects a single target, while Blast is an area spell.",Combat,Indirect,Physical,LOS(A),S,I,F,Core,NULL
6,"Death Touch","Death Touch, Manabolt, and Manaball all channel destructive magical power into the target, doing Physical damage. The damage inflicted is similar to massive cellular die off from radiation or necrotizing fasciitis, but without the continuing effects. But still, ick. Since they are mana spells, spells in this group only affect living and magical targets and are resisted with Willpower. Death Touch requires the magician to touch the target. Manabolt affects a single target, Manaball is an area-effect spell.",Combat,Direct,Mana,T,P,I,F-6,Core,NULL
7,Manabolt,"Death Touch, Manabolt, and Manaball all channel destructive magical power into the target, doing Physical damage. The damage inflicted is similar to massive cellular die off from radiation or necrotizing fasciitis, but without the continuing effects. But still, ick. Since they are mana spells, spells in this group only affect living and magical targets and are resisted with Willpower. Death Touch requires the magician to touch the target. Manabolt affects a single target, Manaball is an area-effect spell.",Combat,Direct,Mana,LOS,P,I,F-3,Core,NULL
8,Manaball,"Death Touch, Manabolt, and Manaball all channel destructive magical power into the target, doing Physical damage. The damage inflicted is similar to massive cellular die off from radiation or necrotizing fasciitis, but without the continuing effects. But still, ick. Since they are mana spells, spells in this group only affect living and magical targets and are resisted with Willpower. Death Touch requires the magician to touch the target. Manabolt affects a single target, Manaball is an area-effect spell.",Combat,Direct,Mana,LOS(A),P,I,F,Core,NULL
9,Flamethrower,"These spells create an explosion of flames that flash into existence and scorch the target(s), giving them the double benefit of causing pain and being intimidating as hell. These spells dealÂ Fire damage.These flames burn out after striking the target, but their secondary effects may ignite flammable materials that continue to burn af ter the spell is exhausted. Flamethrower is a single-target spell, while Fireball is an area spell.",Combat,"Indirect, Elemental",Physical,LOS,P,I,F-3,Core,NULL
10,Fireball,"These spells create an explosion of flames that flash into existence and scorch the target(s), giving them the double benefit of causing pain and being intimidating as hell. These spells dealÂ Fire damage.These flames burn out after striking the target, but their secondary effects may ignite flammable materials that continue to burn af ter the spell is exhausted. Flamethrower is a single-target spell, while Fireball is an area spell.",Combat,"Indirect, Elemental",Physical,LOS(A),P,I,F-1,Core,NULL
