Row,Name,Mount,Availability,Cost,Description,Wireless,Source,Bonus,MinRating,MaxRating,Attachable
1,"Airburst Link",Any,6R,600¥,"This grenade/rocket launcher smartgun accessory uses a “smart” rangefinder to air-burst the explosive projectile at a point deemed to be both a safe distance from the launcher and within the closest possible proximity to the target. An airburst link reduces the scatter distance for a launched grenade by two meters per net hit instead of by one meter per hit (Determine Scatter, p. 182) when you use the wireless link trigger. An airburst link requires wireless functionality to function at all. Both the grenades and the launcher must have wireless mode turned on.","Detonate Grenade/Rocket Remotely",Core,,1,1,1
2,Bipod,Under,2,200¥,"This two-legged brace extends downward from the weapon, allowing it to be fired low to the ground with the user in a prone or sitting position. A bipod can be attached to the underbarrel mount of a weapon and provides 2 points of Recoil Compensation when properly deployed. Attaching a bipod takes one minute. Folding up or deploying a bipod is a Simple Action. Removing it is a Complex Action.","Folding up or deploying the bipod is a Free Action.",Core,,1,1,1
3,"Concealable Holster",,2,150¥,"This small holster can be worn on the ankle, clipped to the forearm, in the small of the back, or anywhere else it’s unlikely to be seen. The concealable holster adds –1 to the item’s Concealability (p. 419). Only pistols and tasers fit in a Concealable Holster.","Wireless sensors and a smart-fabric coated weave allow the holster to alter color and texture in real time adding an additional –1 to the item’s Concealability.",Core,,1,1,0
4,"Gas-Vent System",Barrel,"(Rating x 3)R","Rating x 200¥","Gas-vent recoil compensation systems are barrel-mounted accessories that vent a weapon’s barrel gases at a specific vector to counter muzzle climb. Once installed, a gas-vent cannot be removed. Gas-vent systems provide a number of points of Recoil Compensation equal to their rating.",,Core,,1,3,1
5,"Gyro Mount",Under,7,"1,400¥","This heavy upper-body harness features an attached, articulated, motorized gyro-stabilized arm that mounts an assault rifle or a heavy weapon. The system neutralizes up to 6 points of recoil and movement modifiers. Attaching or removing a weapon from the mount takes a Simple Action. Putting on a gyro-mount harness takes about five minutes, while the quick-release allows you to get out of it with a Complex Action.","Activating the harness’s quick-release with a wireless signal to exit the harness is a Free Action.",Core,,1,1,1
6,"Hidden Arm Slide",,4R,350¥,"Attached to the forearm and worn under clothing, this slide can accommodate a pistol-sized weapon. It can fit a hold-out, light pistol, or taser. With a hand gesture, the slide releases the weapon/object right into your hand. If you quick draw the weapon in this slide, the threshold for the quick draw is 2. It also gives the weapon a –1 Concealability modifier.","You can ready the weapon in the slide as a Free Action.",Core,,1,1,0
7,"Imaging Scope",Top,2,300¥,"These classic scopes are attached to the top mount; attaching or removing them takes only a Simple Action. Imaging scopes include a micro camera and vision magnification, and they have a Capacity of 3 to hold vision enhancements (p. 444).","The scope’s “line of sight” can be shared, allowing you to share what your scope sees with your team (and yourself if you’re using it to look around a corner).",Core,,1,1,1
8,"Laser Sight","Top, Under",2,125¥,"This device uses a laser beam to project a visible dot (in your choice of colors) on the target. This increases the weapon’s Accuracy by 1, which is not cumulative with smartlink modifiers. The laser sight can be attached to either the underbarrel mount or top mount. Activating or deactivating a laser sight is a Simple Action.","The wireless laser sight provides a +1 dice pool bonus on attack tests, not cumulative with smartlink modifiers. Activating and deactivating the laser sight is a Free Action.",Core,,1,1,1
9,Periscope,Top,3,70¥,"This adjustable “off-axis” viewer attaches to a top mount and allows an operator to target a weapon around corners, reducing the usual –3 dice pool penalty to –2. A periscope can be upgraded with any of the vision enhancements noted on p. 444.","The dice pool penalty for shooting around corners is reduced to –1.",Core,,1,1,1
10,"Quick-Draw Holster",,4,175¥,"This easy access holster can hold any weapon of Machine Pistol or smaller size. It reduces the threshold for quick-drawing the holstered weapon by 1 (see Quick Draw, p. 165).",,Core,,1,1,0
