Row,Name,Type,Accuracy,Ammo,ArmorPenetration,Availability,Cost,DamageValue,Description,Modes,Modifiers,Reach,RecoilCompensation,StandardUpgrades,Wireless,Source,Skill,SkillRow,Mounts,Container
1,"Bottle (Unbroken)",Improvised,3,,,,,(STR+1)S,,,,,,,,SR5:R&G,Clubs,0,,0
2,"Bottle (broken, after first hit)",Improvised,3,,,,,(STR)P,,,,,,,,SR5:R&G,Clubs,0,,0
3,Chain,Improvised,4,,,,10¥,(STR+1)P,,,,2,,,,SR5:R&G,Clubs,0,,0
4,Chair,Improvised,3,,,,30¥,(STR+2)S,,,,1,,,,SR5:R&G,Clubs,0,,0
5,Fork,Improvised,4,,1,,,(STR-1)P,,,,,,,,SR5:R&G,Clubs,0,,0
6,"Frying Pan",Improvised,3,,,,20¥,(STR+1)P,,,,,,,,SR5:R&G,Clubs,0,,0
7,Hammer,Improvised,4,,0.5,,30¥,(STR+1)P,,,,,,,,SR5:R&G,Clubs,0,,0
8,"Pistol (Melee)",Improvised,4,,,"As Weapon","As Weapon",(STR+1)P,,,,,,,,SR5:R&G,Clubs,0,,0
9,"Pool Cue",Improvised,4,,1,,45¥,(STR)P,,,,,,,,SR5:R&G,Clubs,0,,0
10,"Rifle Butt",Improvised,3,,,"As Weapon","As Weapon",(STR+3)S,,,,,,,,SR5:R&G,Clubs,0,,0
11,"Sledge Hammer",Improvised,3,,,1,40¥,(STR+4)S,,,,1,,,,SR5:R&G,Clubs,0,,0
12,"Springfield 2003","Sporting Rifle",9,5(m),-2,4R,"3,600¥",12P,"A modern remake of a classic rifle, the Springfield 2003 is a hunter’s dream come true. The bolt action is now computer verified to be within tolerance, and it utilizes the latest in laser-measuring tools. Sporting a chrome-plated bore and barrel, this weapon’s careful craftsmanship maintains a level of precision in manufacturing normally reserved for sniper weapons developed for elite Special Forces teams. The modern, composite furniture eliminates the one major problem with such heirloom firearms, which is that the wood used on the originals often ages poorly with use. The latest version is meant to last multiple lifetimes, as the composite has been fully tested for dependability and resiliency.",SS,,,,,,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
13,"Winchester Model 2024","Sporting Rifle",6,7(m),,4R,"1,800¥",12P,"This classic intermediate-caliber rifle has been updated to reflect the needs of today’s hunter. The lever-action has been updated by utilizing modern materials, including titanium alloy in those areas requiring the greatest torsion strength. The chamber has been coated with easy-to clean polymers without reducing its ability to withstand the pressures created by ATF-approved propellants.",SA,,,,,,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
14,"Marlin 3468SS","Sporting Rifle",4,4(m),-1,6R,"1,000¥",13P,"This large-caliber rifle utilizes the classic .45-70 Government cartridge, making it ideal for hunting larger North American game, and is powerful enough to handle most Awakening-related problems an outdoorsman is likely to encounter. The reinforced polymer frame is designed to endure years of rough handling in the woods, while the improved double-link system ensures a smooth cycling action.",SS,,,,,,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
